order_id,order_date,order_time,store_id,region,channel,customer_id,customer_segment,category,subcategory,unit_price,quantity,gross_sales,net_sales,cost,profit,shipping_days,satisfaction_score,return_flag,financial_completeness_flag
12629,10/8/2024,11:37 AM,21,South,Online,3029,Consumer,Electronics,Laptops,69.11,2,138.22,95.51,79.18,16.33,8,3,0,Complete
37731,12/16/2025,5:17 PM,65,West,Mobile App,28389,Consumer,Home,Kitchen,54.46,2,108.92,93.56,,,7,2,0,Incomplete
39992,4/27/2024,1:05 PM,51,West,Phone,8878,Home Office,Beauty,Skincare,56.34,1,56.34,54.65,30.54,24.11,9,1,0,Complete
8526,6/24/2024,7:26 PM,3,South,In Store,3169,Consumer,Home,Decor,52.94,3,158.82,138.97,,,8,5,0,Incomplete
8280,9/21/2024,2:27 AM,50,West,Mobile App,27958,Consumer,Grocery,Pantry,,6,,,,,3,5,,Not Usable
51013,11/14/2024,8:14 PM,75,South,In Store,5394,Consumer,Electronics,Laptops,128.71,2,257.42,236.05,196.85,39.20,6,5,0,Complete
14872,4/26/2024,12:42 AM,4,Midwest,Online,24736,Corporate,Electronics,Phones,349.20,3,1047.60,797.22,617.01,180.21,8,3,0,Complete
15128,5/20/2025,3:52 PM,18,South,In Store,4117,Corporate,Beauty,Fragrance,39.33,3,117.99,88.73,71.01,17.72,0,4,0,Complete
9367,8/11/2024,10:09 AM,51,West,In Store,16053,Consumer,Beauty,Makeup,42.39,4,169.56,130.56,,,2,4,0,Incomplete
33323,9/15/2025,1:12 AM,27,West,Online,16076,Consumer,Electronics,Phones,65.88,4,263.52,206.86,143.37,63.49,7,1,0,Complete
53391,7/31/2023,6:19 PM,68,Midwest,Mobile App,10593,Corporate,Electronics,Laptops,38.91,2,77.82,51.75,30.69,21.06,5,3,,Complete
21820,5/23/2024,1:39 PM,24,West,In Store,24446,Consumer,Home,Bedding,32.71,1,32.71,26.00,15.51,10.49,5,2,0,Complete
5027,12/5/2025,8:07 PM,59,Northeast,Online,24829,Corporate,Beauty,Fragrance,54.23,6,325.38,193.60,144.78,48.82,0,2,0,Complete
23429,12/8/2025,1:37 AM,60,South,In Store,15773,Consumer,Home,Unknown,100.52,0,0.00,0.00,0.00,0.00,8,1,0,Incomplete
45298,6/18/2023,5:14 AM,2,South,Phone,25279,Consumer,Grocery,Pantry,54.22,5,271.10,235.31,177.49,57.83,1,1,,Complete
26355,6/27/2024,10:11 PM,64,Midwest,Mobile App,18653,Corporate,Beauty,Skincare,106.04,4,424.16,355.45,272.62,82.83,3,3,0,Complete
30196,4/21/2024,4:09 PM,6,South,In Store,27272,Corporate,Beauty,Skincare,48.65,2,97.30,88.83,66.69,22.14,7,,0,Complete
47039,3/7/2025,11:55 PM,84,Northeast,Online,19083,Consumer,Grocery,Beverages,20.44,1,20.44,18.33,11.63,6.70,9,3,0,Complete
20732,6/19/2024,5:43 PM,68,South,Mobile App,17938,Consumer,Apparel,Kids,85.97,3,257.91,189.31,160.12,29.18,1,4,0,Complete
34048,8/17/2025,12:14 AM,75,West,In Store,16126,Home Office,Grocery,Pantry,,0,,,,,9,2,0,Not Usable
26065,4/9/2023,7:54 AM,35,South,In Store,24537,Corporate,Grocery,Produce,106.76,4,427.04,367.68,228.16,139.52,2,,0,Complete
42470,1/14/2023,2:59 AM,19,Midwest,Mobile App,26949,Consumer,Home,Bedding,127.61,4,510.44,261.35,220.88,40.46,7,4,0,Complete
29747,2/15/2025,9:37 PM,65,South,Online,23239,Consumer,Apparel,Men,24.60,1,24.60,23.10,,,3,2,0,Incomplete
14523,10/14/2025,5:57 AM,63,Northeast,Mobile App,22236,Corporate,Home,Furniture,43.87,2,87.74,67.30,43.89,23.41,4,1,0,Complete
31573,7/25/2023,12:38 AM,18,West,In Store,26093,Corporate,Electronics,Audio,36.31,3,108.93,106.75,61.38,45.37,5,4,0,Complete
54950,11/5/2025,5:58 PM,77,Midwest,Online,6499,Consumer,Grocery,Snacks,60.75,,,,,,3,1,0,Incomplete
19369,1/8/2024,1:30 AM,42,West,Online,26382,Consumer,Electronics,Laptops,56.01,4,224.04,206.34,158.02,48.32,3,4,0,Complete
3804,12/18/2024,9:33 PM,75,South,Online,13901,Consumer,Home,Bedding,120.29,1,120.29,76.87,45.14,31.72,7,3,0,Complete
53326,11/20/2023,7:05 PM,16,Northeast,Online,21497,Consumer,Apparel,Men,78.41,4,313.64,223.94,127.43,96.51,7,3,0,Complete
14301,9/15/2025,11:19 PM,2,Northeast,Online,25676,Home Office,Apparel,Shoes,19.08,1,19.08,11.68,9.64,2.03,9,5,0,Complete
51302,10/21/2025,3:31 AM,72,West,Online,23183,Consumer,Apparel,Men,26.95,2,53.90,37.51,29.46,8.06,1,,0,Complete
9009,7/14/2025,3:34 PM,53,Northeast,Online,16892,Home Office,Beauty,Fragrance,37.31,2,74.62,55.59,36.92,18.68,8,4,1,Complete
47522,12/21/2023,5:46 PM,16,South,Online,7382,Corporate,Beauty,Haircare,68.36,1,68.36,58.45,42.67,15.78,3,2,0,Complete
25225,6/16/2024,11:48 AM,3,Northeast,Online,4514,Home Office,Apparel,Shoes,82.03,1,82.03,68.50,53.36,15.14,6,1,0,Complete
48922,10/4/2024,10:52 AM,4,West,In Store,10390,Consumer,Home,Kitchen,24.05,4,96.20,80.13,,,8,5,0,Incomplete
